Name,Commercial Type,Price,sq metres,Neighbourhood
"dublin 8, South Circular Road, Dublin 8",Restaurant / Bar / Hotel For Sale,,100,Dublin 8
"7 Clanbrassil Terrace, Dublin 8",Investment Property For Sale,225000,40,Dublin 8
"45-46 Thomas Street, Dublin 8",Investment Property For Sale,330000,104,Dublin 8
"41 James's Street, Dublin 8",Investment Property For Sale,1300000,340,Dublin 8
"40 James's Street, Dublin 8",Investment Property For Sale,1500000,516,Dublin 8
"40 James's Street, Dublin 8",Office For Sale,1500000,516,Dublin 8
"Meath Mart Meath Street, Dublin 8",Investment Property For Sale,,100,Dublin 8
"115-117 Emmet Road, Kilmainham bank, Inchicore, Dublin 8",Retail Unit To Let or For Sale,250000,120,Dublin 8
"13 Williams Place, Dublin 8",Investment Property For Sale,250000,95,Dublin 8
"80 Thomas Street, Dublin 8",Commercial Site For Sale,650000,43,Dublin 8
"Site at rear of 14 Inchicore Terrace North, Inchicore, Dublin 8",Development Land For Sale,160000,,Dublin 8
"Suite 13, Block 2 Northwood Court, D09 KT59, Santry, Dublin 9",Office For Sale,,153,Dublin 9
"Dublin AirPort Logistics Park, St Margaret's Road, Ballymun, Dublin 9",Industrial Site For Sale,,404686,Dublin 9
"21 Prospect Road, Glasnevin, Dublin 9",Investment Property For Sale,575000,177,Dublin 9
"Woodville, 52/54 Botanic Avenue, Drumcondra, Dublin 9",Investment Property For Sale,1800000,420,Dublin 9
"3a Iona Crescent, Glasnevin, Dublin 9",Retail Unit For Sale,100000,35,Dublin 9
"94 Lower Drumcondra Rd Dublin 9, Drumcondra, Dublin 9",Investment Property For Sale,,989,Dublin 9
"12 &12A Wigan Road, Drumcondra, Dublin 9",Investment Property For Sale,835000,200,Dublin 9
"Balnagowan House, St. Mobhi Boithrin, Glasnevin, Dublin 9",Development Land For Sale,2500000,,Dublin 9
"4 Grace Park Gardens, Drumcondra, Dublin 9",Investment Property For Sale,700000,184,Dublin 9
"Peregrine House, Dublin AirPort Logistics Park, St Margaret's Road, Ballymun, Dublin 9",Industrial Unit For Sale,,2721,Dublin 9
"Units 1 & 3A, Kylemore Park West, Ballyfermot, Dublin 10",Industrial Unit For Sale,,3126,Dublin 10
"Units 26, 42 & 43 Cherry Orchard Industrial Estate, Ballyfermot, Ballyfermot, Dublin 10",Industrial Unit To Let or For Sale,1950000,4297,Dublin 10
"Killeen Hall, Old Killeen Road, Cherry Orchard, Dublin 10",Investment Property For Sale,2800000,929,Dublin 10
"Le Fanu Shopping Centre, Ballyfermot, Dublin 10",Investment Property For Sale,,215,Dublin 10
"Cardinal House, Dublin Airport Logistics Park, St Margarets Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,6392,Dublin 11
"Peregrine House, Dublin Airport Logistics Park, St Margarets Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,2721,Dublin 11
"Crane House, Dublin Airport Logistics Park, St Margarets Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,4764,Dublin 11
"Unit 16, North Park Business Park, North Road, Finglas, Dublin 11",Industrial Unit For Sale,,499,Dublin 11
"Unit D23, North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,296,Dublin 11
"Units 7A & 7B, North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,3728,Dublin 11
"Unit 85, Dublin Industrial Estate, Lagan Road, Glasnevin, Dublin 11",Industrial Unit For Sale,,1181,Dublin 11
"Huntstown, D11A337, Finglas, Dublin 11",Industrial Unit For Sale,5250000,,Dublin 11
"Jamestown Business Park, Finglas, Dublin 11",Industrial Unit For Sale,,15534,Dublin 11
"Unit E12-E13, North City Business Park, Finglas, Dublin 11",Industrial Unit For Sale,,1706,Dublin 11
"Unit 9, Century Business Park, Finglas, Dublin 11",Investment Property For Sale,,1927,Dublin 11
"Unit 9, Century Business Park, Finglas, Dublin 11",Industrial Unit For Sale,,1927,Dublin 11
"D23, The Enterprise Centre, North City Business Park, Finglas, Dublin 11",Industrial Unit For Sale,495000,288,Dublin 11
"Contrail House, Dublin Airport Logistics Park, Finglas, Dublin 11",Industrial Unit For Sale,,8361,Dublin 11
"Cardinal House, Dublin Airport Logistics Park, Finglas, Dublin 11",Industrial Unit For Sale,,6417,Dublin 11
"Crane House, Dublin Airport Logistics Park, Finglas, Dublin 11",Industrial Unit For Sale,,4764,Dublin 11
"32-34 Finglas Business Centre, Jamestown Road, Finglas, Dublin 11",Industrial Unit For Sale,,1244,Dublin 11
"Unit A7B North City Business Park, Finglas, Dublin 11",Industrial Unit For Sale,,1874,Dublin 11
