Name,Latitude,Longitude,Classification,Cluster label
Pinger Incorporated,53.332558,-6.2526934,Company,2
Hudson Advisors Europe Limited,53.334027600000006,-6.2535523,Company,2
International Lease Finance Corporation,53.3478321,-6.241581800000001,Company,1
Axway,53.3354118,-6.243196599999999,Company,2
Snp,53.32940139999999,-6.2305199999999985,Company,4
Oasis Group (Ireland) Limited,53.330454700000004,-6.2589079000000005,Company,2
Ironshore,53.33228949999999,-6.2306548,Company,4
Indeed Ireland Operations,53.3392397,-6.261826,Company,2
Emaint EMEA Ltd (Fluke Corp),53.3491534,-6.2734404,Company,0
Stripe,53.33998470000001,-6.2430786,Company,1
Youniversal Media Dublin,53.3362868,-6.252928199999999,Company,2
Pivotal Software International,53.349137,-6.247751,Company,3
Quintillion Holding Co. Limited,53.346887100000004,-6.249479699999998,Company,3
PTC Therapeutics International Limited,53.3392257,-6.2387811,Company,1
Dita Eyewear Europe Ltd.,53.336971,-6.273718,Company,0
Innovative Interfaces Global,53.346815600000006,-6.253539599999999,Company,3
Utexam Logistics Limited,53.34961819999999,-6.2466773999999985,Company,3
Pearl Street Enterprises,53.350236100000004,-6.2600685999999985,Company,3
Luz Ireland,53.333982999999996,-6.2497262000000005,Company,2
Twilio Ireland,53.3326049,-6.2615973999999985,Company,2
Slack Technologies Limited,53.333732999999995,-6.2617291,Company,2
Simply Zesty,53.3425769,-6.2366343,Company,1
Tripadvisor Ireland,53.34551999999999,-6.235659,Company,1
