combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures,knn_k
"['Cafe', 'Pub', 'Museum', 'Restaurant', 'Price Area']",0.4369337979094077,0.5952380952380952,0.2619047619047619,0.011203324875458808,0.5512775842044134,0.6428571428571429,0.4523809523809524,0.0034466884116327477,5,10
"['Cafe', 'Pub', 'Museum', 'Company', 'Liffey']",0.3981416957026713,0.6666666666666666,0.2619047619047619,0.010620041790263596,0.479500580720093,0.6190476190476191,0.40476190476190477,0.005009169442117519,5,10
"['Cafe', 'Pub', 'Museum', 'Company', 'Price Area']",0.44663182346109176,0.5853658536585366,0.21428571428571427,0.012660740084255,0.5344947735191639,0.6190476190476191,0.35714285714285715,0.006439194357100367,5,10
"['Cafe', 'Pub', 'Museum', 'Liffey', 'Price Area']",0.38885017421602786,0.47619047619047616,0.2619047619047619,0.005603456532325402,0.5156213704994193,0.5714285714285714,0.4523809523809524,0.0017336248399816001,5,10
"['Cafe', 'Pub', 'Restaurant', 'Company', 'Liffey']",0.3793844367015099,0.6428571428571429,0.19047619047619047,0.01587497521316677,0.48896631823461084,0.6904761904761905,0.40476190476190477,0.0064813353459567445,5,10
"['Cafe', 'Pub', 'Restaurant', 'Company', 'Price Area']",0.39413472706155633,0.5476190476190477,0.16666666666666666,0.01742538320106945,0.4839140534262486,0.5952380952380952,0.35714285714285715,0.006711738234853727,5,10
"['Cafe', 'Pub', 'Restaurant', 'Liffey', 'Price Area']",0.3869337979094077,0.5121951219512195,0.2619047619047619,0.009029357727624067,0.5159117305458769,0.5952380952380952,0.38095238095238093,0.005119523121562725,5,10
"['Cafe', 'Pub', 'Company', 'Liffey', 'Price Area']",0.3675377468060395,0.5476190476190477,0.23809523809523808,0.011460315436902504,0.4601045296167248,0.5714285714285714,0.35714285714285715,0.00447181787646647,5,10
"['Cafe', 'Luas', 'Museum', 'Restaurant', 'Company']",0.41358885017421604,0.6097560975609756,0.23809523809523808,0.017769481776450418,0.5059814169570268,0.5714285714285714,0.38095238095238093,0.0032058345844782495,5,10
"['Cafe', 'Luas', 'Museum', 'Restaurant', 'Liffey']",0.3863530778164924,0.6190476190476191,0.21428571428571427,0.010574572283801485,0.5033681765389082,0.5714285714285714,0.43902439024390244,0.0013595190207750761,5,10
